Job_ID,Company,Job_Title,Location,Job_Type,Experience_Level,Salary_Range,Detected_Skills,Skills_Count,Skill_Categories,Scraped_Date,detected_skills,skills_count,skill_categories
JOB_011,Lemon.io,Senior Full-stack React Developer,"Americas, Europe, Asia, Oceania",Remote,Senior,", Eur","AWS, Android, Angular, Azure, Blockchain, C#, C++, Data Science, DevOps, Flask, GCP, Java, JavaScript, Laravel, Machine Learning, Next.js, Node.js, Nuxt, PHP, Python, React, React Native, Ruby, Ruby on Rails, Rust, Spring, Svelte, TypeScript, Vue, iOS",30,"{""Languages"": [""C#"", ""C++"", ""Java"", ""JavaScript"", ""PHP"", ""Python"", ""Ruby"", ""Rust"", ""TypeScript""], ""Frontend"": [""Angular"", ""Next.js"", ""React"", ""Svelte"", ""Vue""], ""Backend"": [""Flask"", ""Laravel""], ""Cloud & DevOps"": [""AWS"", ""Azure"", ""GCP""], ""Data & ML"": [""Machine Learning""], ""Mobile"": [""Android"", ""React Native"", ""iOS""]}",2026-05-02 02:48:51,,0,
JOB_012,Mitre Media,Tech Lead Full-Stack Rails Engineer,"USA, Canada, USA timezones",Hybrid,Senior,$170k - $200k,"Docker, Elasticsearch, Hugging Face, JavaScript, Kubernetes, LangChain, MySQL, PostgreSQL, React, Redis, Ruby, Ruby on Rails, Tailwind, microservices",14,"{""Languages"": [""JavaScript"", ""Ruby""], ""Frontend"": [""React"", ""Tailwind""], ""Databases"": [""MySQL"", ""PostgreSQL"", ""Redis""], ""Cloud & DevOps"": [""Docker"", ""Kubernetes""]}",2026-05-02 02:48:51,,0,
JOB_013,TELUS Digital,Online Data Analyst United States,USA,Not specified,Not specified,Not specified,"go, machine learning",2,{},2026-05-02 02:48:51,,0,
JOB_014,Coalition Technologies ,Office Assistant,Worldwide,Remote,Junior,"$31,2k- $52k",,0,{},2026-05-02 02:48:51,,0,
JOB_015,easybill GmbH,"🇩🇪 Senior/Staff Software Engineer PHP, TS, Rust, Kotlin (m/w/d)",Germany,Remote,Senior,500 Eur,"Docker, Elasticsearch, Go, Java, Kotlin, Microservices, MySQL, PHP, React, Redis, Rust, TypeScript",12,"{""Languages"": [""Go"", ""Java"", ""Kotlin"", ""PHP"", ""Rust"", ""TypeScript""], ""Frontend"": [""React""], ""Databases"": [""MySQL"", ""Redis""], ""Cloud & DevOps"": [""Docker""]}",2026-05-02 02:48:52,,0,
JOB_016,nooro,iOS Developer,USA,Remote,Not specified,$60k-$130k (depending on experience),"Git, Swift, agile, iOS",4,"{""Languages"": [""Swift""], ""Mobile"": [""iOS""]}",2026-05-02 02:48:52,,0,
JOB_017,Sanctuary Computer,Senior Frontend Developer,"LATAM, Asia",Remote,Senior,$80k - $120k,"Cypress, Firebase, GraphQL, JWT, Jest, Next.js, Nuxt, OAuth, PostgreSQL, REST, Redis, Svelte, Tailwind, Typescript, Vue, data structures",16,"{""Frontend"": [""Next.js"", ""Svelte"", ""Tailwind"", ""Vue""], ""Databases"": [""Firebase"", ""PostgreSQL"", ""Redis""]}",2026-05-02 02:48:52,,0,
JOB_018,Chooose,Fullstack Developer (US - ET),USA,Remote,Not specified,competitive salary,"Azure, Python, React, Typescript",4,"{""Languages"": [""Python""], ""Frontend"": [""React""], ""Cloud & DevOps"": [""Azure""]}",2026-05-02 02:48:52,,0,
JOB_019,TELUS Digital,Online Data Analyst (United States/Spanish speakers),USA,Not specified,Not specified,Not specified,"go, machine learning",2,{},2026-05-02 02:48:52,,0,
JOB_020,IAPWE,Freelance Writer,Worldwide,Not specified,Senior,$50-$75 /hour,rest,1,{},2026-05-02 02:48:52,,0,
JOB_021,Coalition Technologies ,Copywriter,Worldwide,Not specified,Senior,$20k -$35k,,0,{},2026-05-02 02:48:52,,0,
JOB_022,Vonage,Strategic Business Development Consultant,Spain,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_023,Haast,Founding Engineer,New York ,Remote,Not specified,220k USD,"Go, Python, go",3,"{""Languages"": [""Go"", ""Python""]}",2026-05-02 02:48:52,,0,
JOB_024,Imagine Pediatrics,Staff Data Engineer,United States,Hybrid,Senior,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_025,Garner Health,Business Development Representative,Remote,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_026,Hostaway,Sales Development Representative North America June Hiring Class,Remote,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_027,Sanctuary Computer,Senior Frontend Developer,Remote,Remote,Senior,Not specified,"Cypress, Firebase, GraphQL, JWT, Jest, Next.js, Nuxt, OAuth, PostgreSQL, REST, Redis, Svelte, Tailwind, Typescript, Vue, data structures",16,"{""Frontend"": [""Next.js"", ""Svelte"", ""Tailwind"", ""Vue""], ""Databases"": [""Firebase"", ""PostgreSQL"", ""Redis""]}",2026-05-02 02:48:52,,0,
JOB_028,Paragon,Product Marketing Lead,Los Angeles or Remote,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_029,Jusbrasil,Legal Data Analyst Junior Vaga Afirmativa para PCD,Belo Horizonte ou Salvador,Not specified,Junior,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_030,Waterworks,Manager Client Support RH Boutique Partners,Remote,Remote,Senior,"$75,000 - $80,000",,0,{},2026-05-02 02:48:52,,0,
JOB_031,Apogee Therapeutics,Senior Manager Clinical Biomarker Operations,Remote,Remote,Senior,Not specified,R,1,"{""Languages"": [""R""]}",2026-05-02 02:48:52,,0,
JOB_032,New Relic,Executive Briefing Specialst,San Francisco,Hybrid,Not specified,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_033,Ibility,Integration Test Manager VHA Required,Washington DC,Not specified,Mid,"$90,000 - $105,000","Agile, Go, Scrum, react",4,"{""Languages"": [""Go""]}",2026-05-02 02:48:52,,0,
JOB_034,Renewal by Andersen,Inside Sales Representative,"South Bend, IN",Remote,Senior,$22-$25,,0,{},2026-05-02 02:48:52,,0,
JOB_035,Spark Advisors,VP Product,Remote,Remote,Senior,Not specified,Spark,1,"{""Data & ML"": [""Spark""]}",2026-05-02 02:48:52,,0,
JOB_036,Axiom,Sustainability Counsel,Remote,Remote,Junior,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_037,Pathfinder Hospitality,Lite Controller Pathfinder Hospitality,Remote,Remote,Senior,"Compensation $3,500",,0,{},2026-05-02 02:48:52,,0,
JOB_038,MLB Network,Counsel Business & Legal Affairs,"Secaucus, NJ",Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_039,Campus Compact,HR Partner,Remote,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:52,,0,
JOB_040,Paperpile,Backend Engineer,Remote,Remote,Not specified,Not specified,"AWS, Java, Node.js, Python, REST, TypeScript",6,"{""Languages"": [""Java"", ""Python"", ""TypeScript""], ""Cloud & DevOps"": [""AWS""]}",2026-05-02 02:48:52,,0,
JOB_041,Paperpile,Senior Full Stack Engineer,Remote,Remote,Senior,Not specified,"AWS, Android, CI/CD, Jest, Node.js, REST, React, React Native, TypeScript, Webpack, algorithms, iOS",12,"{""Languages"": [""TypeScript""], ""Frontend"": [""React""], ""Cloud & DevOps"": [""AWS""], ""Mobile"": [""Android"", ""React Native"", ""iOS""]}",2026-05-02 02:48:53,,0,
JOB_042,Interra Health,Senior Software Engineer,Boston,Remote,Senior,Not specified,"AWS, Agile, CI/CD, DataDog, Docker, Kotlin, React, Ruby, Ruby on Rails, SQL, Spring, Terraform",12,"{""Languages"": [""Kotlin"", ""Ruby""], ""Frontend"": [""React""], ""Cloud & DevOps"": [""AWS"", ""Docker"", ""Terraform""]}",2026-05-02 02:48:53,,0,
JOB_043,Clinical Health Network For Transformation,Self Pay &amp; Customer Service Specialist,Remote,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_044,Loadsmart,Director Global Account Management,Chicago / Remote,Remote,Senior,"$170,000 - $200,000",,0,{},2026-05-02 02:48:53,,0,
JOB_045,Andromeda Cluster,Senior Site Reliability Engineer AI Infrastructure,San Francisco,Remote,Senior,Not specified,"Ansible, Bash, Go, Grafana, Helm, Kubernetes, Prometheus, PyTorch, Python, Terraform",10,"{""Languages"": [""Go"", ""Python""], ""Cloud & DevOps"": [""Kubernetes"", ""Terraform""], ""Data & ML"": [""PyTorch""]}",2026-05-02 02:48:53,,0,
JOB_046,Exodus Movement Inc.,Senior Financial Analyst Digital Assets,Remote,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_047,Altana,Product Expert PLM and ERP,"Brooklyn, NY; Washington, DC",Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_048,"OCMI, Inc.",Senior Cost Manager Estimator,"San Diego, CA",Remote,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_049,SpecterOps,Lead Commercial Counsel,"Remote, United States",Remote,Senior,"$175,000-$225,000",,0,{},2026-05-02 02:48:53,,0,
JOB_050,Honor Foods,Front End Full Stack Developer,"Philadelphia, PA",Remote,Not specified,Not specified,"Git, Java, JavaScript, Jenkins, PostgreSQL, Python, React, Spring, TypeScript",9,"{""Languages"": [""Java"", ""JavaScript"", ""Python"", ""TypeScript""], ""Frontend"": [""React""], ""Databases"": [""PostgreSQL""], ""Cloud & DevOps"": [""Jenkins""]}",2026-05-02 02:48:53,,0,
JOB_051,Wellist,Senior Recruiter & People Operations Lead,"Boston, MA",Remote,Senior,Not specified,go,1,{},2026-05-02 02:48:53,,0,
JOB_052,FSE,HIGH TICKET OUTBOUND SALES WANTED,Remote,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_053,Syner-G,Automation Engineer,Pittsburgh,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_054,Shields Health Solutions,Pharmacy Liaison,Lakeland,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_055,"Chime Financial, Inc",Data Governance Engineer,San Francisco,Not specified,Not specified,Not specified,"Python, Terraform",2,"{""Languages"": [""Python""], ""Cloud & DevOps"": [""Terraform""]}",2026-05-02 02:48:53,,0,
JOB_056,Renaissance Learning North America,UX Designer II,Remote,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_057,Fictiv,Account Executive Emerging Accounts,"Schaumburg, IL",Onsite,Not specified,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_058,Habitat Health,Senior Associate Business Development & Strategy,San Francisco,Not specified,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_059,Open Farm,Regional Sales Manager,Metro Atlanta,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_060,"ShipBob, Inc.",Senior Transportation Specialist,Australia,Not specified,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_061,DentalXChange,Senior Client Services Specialist,Remote USA,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_062,Rowan,Regional Human Resources Business Partner West,California,Remote,Not specified,"$90,000 - $110,000",,0,{},2026-05-02 02:48:53,,0,
JOB_063,Golden Pet Brands,Associate Copywriter,El Segundo,Remote,Mid,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_064,Oruka Therapeutics,Senior Publications Manager,Remote,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_065,Oruka Therapeutics,Senior Scientific Communications Manager,Remote,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_066,Smile Digital Health,Senior Product Marketing Manager US,Remote US,Remote,Senior,"$120,000 - $140,000",,0,{},2026-05-02 02:48:53,,0,
JOB_067,Brandtech+,Senior Enablement Manager,Mumbai,Not specified,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_068,Calabrio,Engineer Software,Remote,Remote,Senior,Not specified,"AWS, Agile, Azure, C#, CI/CD, Cypress, Datadog, DevOps, Docker, Elasticsearch, Git, GitHub Actions, Grafana, GraphQL, JUnit, JWT, Java, JavaScript, Jenkins, Jest, Kanban, Kubernetes, MongoDB, OAuth, Oracle, PostgreSQL, Prometheus, REST, React, Redis, SQL, Scrum, Selenium, Spring, Spring Boot, TypeScript, microservices",37,"{""Languages"": [""C#"", ""Java"", ""JavaScript"", ""TypeScript""], ""Frontend"": [""React""], ""Backend"": [""Spring Boot""], ""Databases"": [""MongoDB"", ""Oracle"", ""PostgreSQL"", ""Redis""], ""Cloud & DevOps"": [""AWS"", ""Azure"", ""Docker"", ""GitHub Actions"", ""Jenkins"", ""Kubernetes""]}",2026-05-02 02:48:53,,0,
JOB_069,UASI,Outpatient Facility Coder,Remote,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:53,,0,
JOB_070,Toastmasters International,Business Analyst,"Englewood, CO",Not specified,Not specified,Not specified,go,1,{},2026-05-02 02:48:53,,0,
JOB_071,Veeam Software,Sr Account Executive Commercial Accounts,"Dallas, TX",Not specified,Senior,Not specified,go,1,{},2026-05-02 02:48:53,,0,
JOB_072,Taxtalente.de,"Steuerberater (m/w/d) in Kehl , auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Kehl,Not specified,Not specified,Not specified,Go,1,"{""Languages"": [""Go""]}",2026-05-02 02:48:54,,0,
JOB_073,Taxtalente.de,"Steuerberater (m/w/d) in Offenburg, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Offenburg,Not specified,Not specified,Not specified,Go,1,"{""Languages"": [""Go""]}",2026-05-02 02:48:54,,0,
JOB_074,Taxtalente.de,"Steuerberater (m/w/d) in Bühl, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Bühl,Not specified,Not specified,Not specified,Go,1,"{""Languages"": [""Go""]}",2026-05-02 02:48:54,,0,
JOB_075,Taxtalente.de,"Steuerberater (m/w/d) in Tübingen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Tübingen,Not specified,Not specified,Not specified,Go,1,"{""Languages"": [""Go""]}",2026-05-02 02:48:54,,0,
JOB_076,MY Humancapital GmbH,Software Tester Testautomatisierung (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_077,MY Humancapital GmbH,Software Tester - Simulation & Training (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_078,MY Humancapital GmbH,Messtechniker / Kalibriertechniker (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_079,MY Humancapital GmbH,Spezialist (m/w/d) - Drittmittelprüfung,Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_080,MY Humancapital GmbH,Personalsachbearbeiter (m/w/d) in Teilzeit,Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_081,MY Humancapital GmbH,Projektmanager (m/w/d) Sanierung,Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_082,MY Humancapital GmbH,Debitorenbuchhalter (m/w/d),Gräfelfing,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_083,MY Humancapital GmbH,Controller (m/w/d) - Riskmanagement im Bankenwesen,Frankfurt am Main,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_084,MY Humancapital GmbH,IT Support Specialist (m/w/d) - 2nd Level,Munich,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_085,MY Humancapital GmbH,Systemingenieur (m/w/d) - Anforderungsmanagement,Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_086,MY Humancapital GmbH,Sachbearbeiter (m/w/d) - Auftragsabrechnung,Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_087,MY Humancapital GmbH,Fachkraft für Arbeitssicherheit / Sicherheitsingenieur (m/w/d),Dresden,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_088,MY Humancapital GmbH,Sachbearbeiter Forderungsmanagement (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_089,MY Humancapital GmbH,Strategischer Projektentwickler (m/w/d),Erfurt,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_090,MY Humancapital GmbH,Linux Systemadministrator (m/w/d),Dresden,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_091,MY Humancapital GmbH,Sachbearbeiter Finanzen / Verwaltungsfachkraft (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_092,MY Humancapital GmbH,Konfigurationsmanager / Produktkoordinator (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_093,The Bike Club,Lean Operations Manager (m/f/d),Berlin,Not specified,Senior,Not specified,SQL,1,{},2026-05-02 02:48:54,,0,
JOB_094,MY Humancapital GmbH,Supplier Quality Engineer (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_095,MY Humancapital GmbH,Senior Systemadministrator (m/w/d) IT-Infrastruktur,Hamburg,Remote,Senior,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_096,MY Humancapital GmbH,DevSecOps / IT Security Specialist (m/w/d),Augsburg,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_097,MY Humancapital GmbH,Verwaltungsfachwirt / Sachbearbeiter Finanzwesen (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_098,MY Humancapital GmbH,Systemadministrator (m/w/d),Munich,Not specified,Not specified,Not specified,"GIT, PostgreSQL",2,"{""Databases"": [""PostgreSQL""]}",2026-05-02 02:48:54,,0,
JOB_099,MY Humancapital GmbH,IT Support Specialist / IT Systemadministrator (m/w/d),Munich,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_100,MY Humancapital GmbH,Techniker Systemintegration / Mechatronik (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_101,MY Humancapital GmbH,Vertriebscontroller im Bankenumfeld (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_102,MY Humancapital GmbH,Materialdisponent / Logistik-Koordinator (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_103,MY Humancapital GmbH,Privatkundenbetreuer (m/w/d),Bad Tölz,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_104,MY Humancapital GmbH,Bankkaufmann / Kundenberater (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_105,MY Humancapital GmbH,Kundenberater Private Banking (m/w/d),Munich,Not specified,Senior,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_106,MY Humancapital GmbH,IT Administrator (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_107,MY Humancapital GmbH,Debitorenbuchhalter (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_108,MY Humancapital GmbH,Betriebskostenabrechner (m/w/d),Munich,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_109,PLSTR DIGITAL GmbH,Senior Performance B2B Marketing Manager (m/w/d),Mannheim,Hybrid,Senior,Not specified,"SQL, r",2,{},2026-05-02 02:48:54,,0,
JOB_110,Ströer X GmbH,Teamleiter Servicetechniker Gebäudetechnik (m/w/d),Hamburg,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_111,The Bike Club,Customer Service Spezialist,Berlin,Not specified,Junior,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_112,DSEV Consulting & Akademie GmbH,"Consultant (m/w/d) Datenschutz & Informationssicherheit (Teilzeit, Remote)",Augsburg,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_113,Auralis Group,Dynamics 365 Consultant & Engineer (m/w/d) mit Karriereambitionen!,Markt Indersdorf,Remote,Not specified,Not specified,"Azure, C#, JavaScript",3,"{""Languages"": [""C#"", ""JavaScript""], ""Cloud & DevOps"": [""Azure""]}",2026-05-02 02:48:54,,0,
JOB_114,Auralis Group,Java Softwareentwickler:in mit Karriereambitionen - jetzt mit uns voll durchstarten!,Markt Indersdorf,Remote,Not specified,Not specified,"AWS, Angular, Azure, GCP, Java, Kotlin, React, Spring, Spring Boot, Vue",10,"{""Languages"": [""Java"", ""Kotlin""], ""Frontend"": [""Angular"", ""React"", ""Vue""], ""Backend"": [""Spring Boot""], ""Cloud & DevOps"": [""AWS"", ""Azure"", ""GCP""]}",2026-05-02 02:48:54,,0,
JOB_115,Auralis Group,Software Testautomatisierer (m/w/d) mit Karriereambitionen,Markt Indersdorf,Remote,Not specified,Not specified,"AWS, Azure, CI/CD, Cypress, GCP, GitHub Actions, Java, JavaScript, Jenkins, Python, REST, Selenium",12,"{""Languages"": [""Java"", ""JavaScript"", ""Python""], ""Cloud & DevOps"": [""AWS"", ""Azure"", ""GCP"", ""GitHub Actions"", ""Jenkins""]}",2026-05-02 02:48:54,,0,
JOB_116,Pertemps ERP,SAP ABAP Entwickler (m/w/d),Hamburg,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_117,EXTERNUM UG (haftungsbeschränkt),Sicherheitstechniker*in (m/w/d) für moderne Sicherheitssysteme,Frankfurt am Main,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_118,Pertemps ERP,SAP EWM Berater,Frankfurt am Main,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:54,,0,
JOB_119,Pertemps ERP,Head of SAP,Nuremberg,Hybrid,Not specified,Not specified,,0,{},2026-05-02 02:48:55,,0,
JOB_120,Pertemps ERP,SAP GTS Consultant (m/w/d),Cologne,Hybrid,Mid,000 EUR,,0,{},2026-05-02 02:48:55,,0,
JOB_121,Pertemps ERP,Sap Finance Control Consultant,Frankfurt am Main,Remote,Not specified,Not specified,,0,{},2026-05-02 02:48:55,,0,
